iter	Logloss
359	0.2272821731
360	0.2272374337
361	0.2272127933
362	0.2271684216
363	0.2270972572
364	0.2270507545
365	0.2269926864
366	0.2269322717
367	0.2268698502
368	0.2268281626
369	0.2267839911
370	0.2267499902
371	0.22672235
372	0.2266746021
373	0.2266187621
374	0.2265611058
375	0.2264898609
376	0.2264359107
377	0.2263605692
378	0.2263116963
379	0.2262888995
380	0.2262204911
381	0.2261328767
382	0.2260739096
383	0.2260045452
384	0.2259516312
385	0.2259025921
386	0.2258489876
387	0.2257894346
388	0.2257418977
389	0.2256751968
390	0.2256240705
391	0.225571192
392	0.2255217674
393	0.2254590797
394	0.2254065395
395	0.2253506482
396	0.2252871623
397	0.2252270873
398	0.2251872943
399	0.2251439908
400	0.2251005677
401	0.2250542979
402	0.2250195418
403	0.224993307
404	0.2249287743
405	0.2248731071
406	0.2248455733
407	0.2248061316
408	0.224768574
409	0.2246928545
410	0.2246641048
411	0.2246061229
412	0.2245576952
413	0.2245029453
414	0.2244578273
415	0.2244319282
416	0.2243952777
417	0.2243494292
418	0.2243024118
419	0.2242552601
420	0.2242061439
421	0.2241591454
422	0.2240967667
423	0.2240608301
424	0.2240217871
425	0.2239684477
426	0.2239220549
427	0.2238740819
428	0.223848113
429	0.2237856166
430	0.2237480513
431	0.223688282
432	0.223640831
433	0.2235882071
434	0.2235206662
435	0.2234817662
436	0.2234625
437	0.2234135667
438	0.2233804246
439	0.2233421149
440	0.2233077719
441	0.2232487734
442	0.2232068735
443	0.2231612881
444	0.2231327504
445	0.2231069244
446	0.2230411635
447	0.2230024312
448	0.2229387574
449	0.2228844267
450	0.2228350729
451	0.2227959324
452	0.222757897
453	0.2227127409
454	0.2226487957
455	0.2226040584
456	0.2225707006
457	0.2225166909
458	0.222460867
459	0.2224043123
460	0.2223477616
461	0.2222931596
462	0.2222480872
463	0.2222123203
464	0.22215578
465	0.2221098972
466	0.2220562686
467	0.222002623
468	0.2219602448
469	0.2219128558
470	0.2218707391
471	0.2218313969
472	0.2217704503
473	0.22171124
474	0.2216782632
475	0.2216201853
476	0.2215778974
477	0.2215257897
478	0.2214863879
479	0.221448911
480	0.2214066301
481	0.2213502269
482	0.2213057879
483	0.2212383182
484	0.2211823058
485	0.2211577662
486	0.221105967
487	0.2210557111
488	0.2210072479
489	0.2209659449
490	0.2209214598
491	0.2208920309
492	0.2208390357
493	0.2207944412
494	0.2207503473
495	0.2207000787
496	0.2206617605
497	0.2206474041
498	0.2205875595
499	0.2205580541
500	0.2205160073
501	0.2204627213
502	0.2204164021
503	0.2203599934
504	0.2203128397
505	0.2202621812
506	0.2202444427
507	0.2201953329
508	0.2201461873
509	0.2200957132
510	0.2200525743
511	0.2200109975
512	0.2199556091
513	0.2199148684
514	0.2198645049
515	0.2198407936
516	0.2197939385
517	0.2197349151
518	0.2196805761
519	0.2196465113
520	0.219612542
521	0.2195749332
522	0.2194992569
523	0.2194865469
524	0.2194293458
525	0.2193904687
526	0.2193306198
527	0.219289092
528	0.2192405052
529	0.2192207822
530	0.2191657087
531	0.2191327352
532	0.2190785158
533	0.2190292427
534	0.2189692512
535	0.2189182866
536	0.218886082
537	0.2188553873
538	0.2188258018
539	0.2187877172
540	0.2187568408
541	0.2187384701
542	0.2187155798
543	0.2186566608
544	0.218631725
545	0.2185886738
546	0.2185526727
547	0.2185062338
548	0.2184770089
549	0.2184217699
550	0.2183881681
551	0.2183486725
552	0.2182880122
553	0.2182325247
554	0.2181622311
555	0.2181222926
556	0.2180517234
557	0.2179869164
558	0.2179230841
559	0.2178817644
560	0.2178347152
561	0.2178183736
562	0.2177996231
563	0.2177480244
564	0.2177105463
565	0.2176615318
566	0.2176002497
567	0.2175388492
568	0.2174970134
569	0.2174532736
570	0.2174227862
571	0.2173785093
572	0.2173408229
573	0.2173047729
574	0.2172560895
575	0.2171999247
576	0.2171609802
577	0.2171155989
578	0.2170680354
579	0.2170171821
580	0.2169570884
581	0.216932929
582	0.2169107481
583	0.2168700638
584	0.2168177732
585	0.2167963869
586	0.2167544052
587	0.2167195178
588	0.2166812612
589	0.216637164
590	0.2165951618
591	0.2165646935
592	0.2165069559
593	0.2164705904
594	0.2164447651
595	0.2163910744
596	0.2163471662
597	0.2163217769
598	0.2163046466
599	0.2162611642
600	0.2162211526
601	0.2162017936
602	0.2161692962
603	0.2161335118
604	0.216080241
605	0.2160511821
606	0.2160044612
607	0.2159649801
608	0.215919047
609	0.2158555483
610	0.2158110957
611	0.215778746
612	0.2157244868
613	0.2156825627
614	0.2156412592
615	0.2155897467
616	0.2155540207
617	0.2155321854
618	0.2154963794
619	0.2154321893
620	0.2154129169
621	0.2153798244
622	0.2153126552
623	0.2152686993
624	0.2152267857
625	0.2151954766
626	0.2151561678
627	0.2151163322
628	0.2150877865
629	0.2150355419
630	0.2150213484
631	0.2149864917
632	0.2149373362
633	0.2149130444
634	0.2148751641
635	0.2148375564
636	0.2148084625
637	0.214776226
638	0.2147342816
639	0.2147074103
640	0.214650235
641	0.2146090073
642	0.2146003065
643	0.214579016
644	0.2145396907
645	0.2144931468
646	0.2144666514
647	0.2144346322
648	0.2143913823
649	0.2143522861
650	0.214307019
651	0.2142576996
652	0.2141978871
653	0.2141424163
654	0.2141108519
655	0.2140545443
656	0.2140003306
657	0.2139581393
658	0.2139119724
659	0.2138750041
660	0.2138210297
661	0.2137895574
662	0.2137671717
663	0.213747954
664	0.2137081014
665	0.213675461
666	0.2136411373
667	0.2136067495
668	0.2135710678
